case,kind,segment,docs,source_files,payload_bytes,perf12_ms,vnext_ms,kernel_total_ms,sample_ms,base_ms,base_write_ms,accel_ms,q2_ms,frontier_ms,pos1_ms,pos2_ms,pos3_ms,write_ms,total_ms,read_ms,normalize_ms,wall_ms,layout_ms,index_group_ms,cq1_ms,cq2_ms,cq3_ms,pq1_ms,pq2_ms,pq3_ms,encode_ms,checksum_ms
20k_4k,BUILD_PHASE,,5000,,,,,,,,,,,,,,,,114.257,,,,,,,,,,,,,
20k_4k,BUILD_PHASE,,5000,,,,,,,,,,,,,,,,112.347,,,,,,,,,,,,,
20k_4k,BUILD_PHASE,,5000,,,,,,,,,,,,,,,,175.211,,,,,,,,,,,,,
20k_4k,BUILD_PHASE,,5000,,,,,,,,,,,,,,,,176.291,,,,,,,,,,,,,
20k_4k,BUILD_ACCEL_PHASE,seg-00000.prseg,,,,,,,,,,,7.074,1573.559,165.267,5.218,0.029,41.570,1794.167,,,,,,,,,,,,,
20k_4k,BUILD_ACCEL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20k_4k,BUILD_SEGMENT_WALL,0,5000,,,,,,4.815,114.422,139.258,1794.253,,,,,,,2052.751,,,,,,,,,,,,,
20k_4k,BUILD_ACCEL_PHASE,seg-00001.prseg,,,,,,,,,,,8.312,1735.704,177.961,5.389,0.028,45.829,1975.425,,,,,,,,,,,,,
20k_4k,BUILD_ACCEL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20k_4k,BUILD_SEGMENT_WALL,1,5000,,,,,,7.838,112.507,137.610,1975.545,,,,,,,2233.503,,,,,,,,,,,,,
20k_4k,BUILD_ACCEL_PHASE,seg-00002.prseg,,,,,,,,,,,12.120,2539.340,301.410,12.797,0.032,72.720,2939.853,,,,,,,,,,,,,
20k_4k,BUILD_ACCEL,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20k_4k,BUILD_SEGMENT_WALL,2,5000,,,,,,6.844,175.416,134.384,2940.202,,,,,,,3256.849,,,,,,,,,,,,,
20k_4k,BUILD_ACCEL_PHASE,seg-00003.prseg,,,,,,,,,,,12.346,2534.152,273.041,22.966,0.085,96.733,2941.210,,,,,,,,,,,,,
20k_4k,BUILD_ACCEL,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20k_4k,BUILD_SEGMENT_WALL,3,5000,,,,,,7.502,176.571,130.628,2941.342,,,,,,,3256.045,,,,,,,,,,,,,
20k_4k,BUILD_HYDRATION,,20000,20000,,,,,,,,,,,,,,,,314.775,12.272,61.276,,,,,,,,,,
20k_4k,VNEXT_BUILD_PHASE,segment-00001.prseg2,5000,,,,,,,,,,,,,,,102.346,481.586,,,,14.050,338.506,85.067,134.967,338.252,1.037,1.254,11.340,0.057,26.624
20k_4k,VNEXT_BUILD_PHASE,segment-00000.prseg2,5000,,,,,,,,,,,,,,,89.383,519.245,,,,21.917,379.821,137.319,112.739,379.705,0.902,1.001,7.589,0.058,28.064
20k_4k,VNEXT_BUILD_PHASE,segment-00003.prseg2,5000,,,,,,,,,,,,,,,108.158,584.178,,,,13.717,434.385,110.794,91.202,432.032,0.908,2.508,24.018,0.073,27.843
20k_4k,VNEXT_BUILD_PHASE,segment-00002.prseg2,5000,,,,,,,,,,,,,,,98.599,615.729,,,,29.359,458.330,172.692,127.790,457.322,0.838,1.783,3.137,0.052,29.386
20k_4k,BUILD_STAGE_PROFILE,,20000,,4096,3360.345,723.079,4083.424,,,,,,,,,,,,,,,,,,,,,,,,
20k_512,BUILD_PHASE,,5000,,,,,,,,,,,,,,,,36.549,,,,,,,,,,,,,
20k_512,BUILD_PHASE,,5000,,,,,,,,,,,,,,,,51.749,,,,,,,,,,,,,
20k_512,BUILD_PHASE,,5000,,,,,,,,,,,,,,,,31.599,,,,,,,,,,,,,
20k_512,BUILD_PHASE,,5000,,,,,,,,,,,,,,,,43.276,,,,,,,,,,,,,
20k_512,BUILD_ACCEL_PHASE,seg-00001.prseg,,,,,,,,,,,12.533,253.480,31.200,6.863,0.034,30.448,334.776,,,,,,,,,,,,,
20k_512,BUILD_ACCEL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20k_512,BUILD_SEGMENT_WALL,1,5000,,,,,,1.031,52.030,30.929,334.849,,,,,,,418.842,,,,,,,,,,,,,
20k_512,BUILD_ACCEL_PHASE,seg-00000.prseg,,,,,,,,,,,9.041,271.984,29.896,8.250,0.035,24.010,343.369,,,,,,,,,,,,,
20k_512,BUILD_ACCEL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20k_512,BUILD_SEGMENT_WALL,0,5000,,,,,,0.819,36.679,41.391,343.448,,,,,,,422.340,,,,,,,,,,,,,
20k_512,BUILD_ACCEL_PHASE,seg-00002.prseg,,,,,,,,,,,12.337,248.508,31.268,7.510,0.034,37.305,337.862,,,,,,,,,,,,,
20k_512,BUILD_ACCEL,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20k_512,BUILD_SEGMENT_WALL,2,5000,,,,,,1.146,43.462,18.882,337.950,,,,,,,401.442,,,,,,,,,,,,,
20k_512,BUILD_ACCEL_PHASE,seg-00003.prseg,,,,,,,,,,,22.306,263.368,31.417,5.252,0.027,17.944,340.892,,,,,,,,,,,,,
20k_512,BUILD_ACCEL,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20k_512,BUILD_SEGMENT_WALL,3,5000,,,,,,0.826,31.768,30.031,340.963,,,,,,,403.590,,,,,,,,,,,,,
20k_512,BUILD_HYDRATION,,20000,20000,,,,,,,,,,,,,,,,153.240,4.813,34.605,,,,,,,,,,
20k_512,VNEXT_BUILD_PHASE,segment-00003.prseg2,5000,,,,,,,,,,,,,,,26.486,88.383,,,,0.953,56.704,16.986,30.210,54.886,0.844,1.460,3.782,0.068,4.169
20k_512,VNEXT_BUILD_PHASE,segment-00002.prseg2,5000,,,,,,,,,,,,,,,26.981,92.259,,,,0.678,60.744,6.474,10.836,60.546,0.715,14.187,4.071,0.052,3.803
20k_512,VNEXT_BUILD_PHASE,segment-00001.prseg2,5000,,,,,,,,,,,,,,,20.619,92.308,,,,0.705,65.544,18.064,21.894,65.214,0.933,1.020,2.172,0.061,5.367
20k_512,VNEXT_BUILD_PHASE,segment-00000.prseg2,5000,,,,,,,,,,,,,,,13.220,92.786,,,,1.015,74.781,31.907,39.918,69.218,0.466,1.661,3.751,0.058,3.709
20k_512,BUILD_STAGE_PROFILE,,20000,,512,449.875,126.417,576.292,,,,,,,,,,,,,,,,,,,,,,,,
